id,States,Capital,Population_2024_millions,Years_of_Statehood
1,Alabama,Montgomery,4.92,1819
2,Alaska,Juneau,0.73,1959
3,Arizona,Phoenix,7.42,1912
4,Arkansas,Little Rock,3.03,1836
5,California,Sacramento,39.03,1850
6,Colorado,Denver,5.81,1876
7,Connecticut,Hartford,3.56,1788
8, Delaware,Dover,1,1787
9,Florida,Tallahassee,23,1845
10,Georgia,Atlanta,11.1,1788
11,Hawaii,Honolulu,1.41,1959
12, Idaho,Boise,1.83,1890
13,Illinois,Springfield,12.58,1818
14,Indiana,Indianapolis,6.75,1816
15,Iowa,Des Moines,6.75,1846
16,Kansas,Topeka,2.91,1861
17,Kentucky,Frankfort,4.48,1792
18,Louisiana,Baton Rouge,4.65,1812
19,Maine,Augusta,1.35,1820
20,Maryland,Annapolis,6.06,1788
21,Massachusetts,Boston,6.89,1788
22,Michigan,Lansing,10.03,1837
23,Minnesota,Saint Paul,5.66,1858
24,Mississippi,Jackson,2.97,1817
25,Missouri,Jefferson City,6.15,1821
26,Montana,Helena,1.08,1889
27,Nebraska,Lincoln,1.94,1867
28,Nevada,Carson City,3.14,1864
29,New Hampshire,Concord,1.37,1788
30,New Jersey,Trenton,9.26,1787
31,New Mexico,Santa Fe,2.11,1912
32,New York,Albany,19.67,1788
33, North Carolina,Raleigh,11,1789
34,North Dakota,Bismarck,0.77,1889
35,Ohio,Columbus,11.75,1803
36,Oklahoma,Oklahoma City,3.98,1907
37,Oregon,Salem,4.24,1859
38,Pennsylvania,Harrisburg,13,1787
39,Rhode Island,Providence,1.06,1790
40, South Carolina,Columbia,5.22,1788
41, South Dakota,Pierre,0.9,1889
42,Tennessee,Nashville,6.89,1796
43,Texas,Austin,31,1845
44,Utah,Salt Lake City,3.25,1896
45,Vermont,Montpelier,0.64,1791
46,Virginia,Richmond,8.68,1788
47,Washington,Olympia,7.79,1889
48,West Virginia,Charleston,1.78,1863
49,Wisconsin,Madison,5.83,1848
50, Wyoming,Cheyenne,0.59,1890
